CARABANCHEL,MIERCOLES,TURISMO,CONDUCTOR,771,0.0000093881
VILLAVERDE,DOMINGO,TURISMO,CONDUCTOR,302,0.0000036773
ARGANZUELA,DOMINGO,TURISMO,CONDUCTOR,504,0.0000061370
ARGANZUELA,LUNES,BICICLETA,CONDUCTOR,50,6.088E-7
CARABANCHEL,MARTES,TURISMO,VIAJERO,244,0.0000029711
LATINA,MIERCOLES,VARIOS,VIAJERO,3,3.65E-8
RETIRO,MIERCOLES,NO ASIGNADO,TESTIGO,262,0.0000031903
RETIRO,SABADO,MOTOCICLETA,CONDUCTOR,134,0.0000016317
LATINA,MARTES,AUTOBUS-AUTOCAR,CONDUCTOR,39,4.749E-7
CHAMARTIN,SABADO,AUTO-TAXI,CONDUCTOR,64,7.793E-7
CIUDAD LINEAL,SABADO,NO ASIGNADO,PEATON,77,9.376E-7
VILLA DE VALLECAS,MIERCOLES,CAMION,VIAJERO,2,2.44E-8
SALAMANCA,MIERCOLES,AUTOBUS-AUTOCAR,CONDUCTOR,37,4.505E-7
HORTALEZA,VIERNES,VARIOS,CONDUCTOR,6,7.31E-8
RETIRO,VIERNES,AUTO-TAXI,TESTIGO,1,1.22E-8
SAN BLAS,SABADO,AMBULANCIA,CONDUCTOR,1,1.22E-8
CENTRO,MIERCOLES,VEH.3 RUEDAS,CONDUCTOR,1,1.22E-8
HORTALEZA,JUEVES,TURISMO,CONDUCTOR,530,0.0000064536
CARABANCHEL,DOMINGO,NO ASIGNADO,TESTIGO,199,0.0000024231
CHAMBERI,VIERNES,TURISMO,VIAJERO,197,0.0000023988
CENTRO,DOMINGO,CAMION,CONDUCTOR,5,6.09E-8
CHAMBERI,DOMINGO,VARIOS,CONDUCTOR,7,8.52E-8
CHAMBERI,SABADO,AUTOBUS-AUTOCAR,VIAJERO,7,8.52E-8
SALAMANCA,LUNES,CICLOMOTOR,TESTIGO,1,1.22E-8
HORTALEZA,MARTES,BICICLETA,CONDUCTOR,23,2.801E-7
HORTALEZA,LUNES,CAMION,CONDUCTOR,12,1.461E-7
MONCLOA-ARAVACA,DOMINGO,AMBULANCIA,CONDUCTOR,3,3.65E-8
VILLA DE VALLECAS,VIERNES,AUTOBUS-AUTOCAR,VIAJERO,12,1.461E-7
CHAMBERI,MIERCOLES,MOTOCICLETA,TESTIGO,1,1.22E-8
RETIRO,SABADO,CAMION,VIAJERO,2,2.44E-8
SALAMANCA,DOMINGO,TURISMO,VIAJERO,354,0.0000043105
VILLA DE VALLECAS,LUNES,NO ASIGNADO,PEATON,53,6.454E-7
MORATALAZ,MIERCOLES,NO ASIGNADO,PEATON,50,6.088E-7
HORTALEZA,MARTES,NO ASIGNADO,TESTIGO,157,0.0000019117
RETIRO,DOMINGO,CICLOMOTOR,VIAJERO,8,9.74E-8
CHAMARTIN,MARTES,BICICLETA,CONDUCTOR,28,3.409E-7
MONCLOA-ARAVACA,SABADO,BICICLETA,CONDUCTOR,56,6.819E-7
VILLA DE VALLECAS,MARTES,MOTOCICLETA,CONDUCTOR,53,6.454E-7
LATINA,SABADO,MOTOCICLETA,CONDUCTOR,93,0.0000011324
SALAMANCA,MIERCOLES,VARIOS,CONDUCTOR,22,2.679E-7
ARGANZUELA,DOMINGO,VARIOS,CONDUCTOR,7,8.52E-8
VILLA DE VALLECAS,MIERCOLES,TURISMO,CONDUCTOR,34,4.140E-7
FUENCARRAL-EL PARDO,MARTES,FURGONETA,VIAJERO,12,1.461E-7
VICALVARO,MIERCOLES,AUTOBUS-AUTOCAR,CONDUCTOR,5,6.09E-8
HORTALEZA,SABADO,FURGONETA,CONDUCTOR,9,1.096E-7
VILLA DE VALLECAS,VIERNES,VARIOS,VIAJERO,1,1.22E-8
LATINA,MIERCOLES,TURISMO,TESTIGO,1,1.22E-8
TETUAN,DOMINGO,VARIOS,CONDUCTOR,1,1.22E-8
LATINA,MARTES,NO ASIGNADO,PEATON,150,0.0000018265
VILLA DE VALLECAS,MARTES,FURGONETA,VIAJERO,10,1.218E-7
FUENCARRAL-EL PARDO,JUEVES,MOTOCICLETA,CONDUCTOR,215,0.0000026180
MONCLOA-ARAVACA,JUEVES,AUTO-TAXI,CONDUCTOR,30,3.653E-7
SALAMANCA,DOMINGO,NO ASIGNADO,PEATON,66,8.037E-7
MONCLOA-ARAVACA,LUNES,VARIOS,CONDUCTOR,18,2.192E-7
RETIRO,MARTES,BICICLETA,CONDUCTOR,50,6.088E-7
TETUAN,SABADO,VARIOS,CONDUCTOR,8,9.74E-8
